"county","proficiency_lp_center","proficiency_mt_center","classroom_center","classroom_used_center","computers_center","employees_center","proficiency_lp_radius","proficiency_mt_radius","classroom_radius","classroom_used_radius","computers_radius","employees_radius"
1100015,258.066151793103,258.083456003831,6.82857142857143,7.45714285714286,6.4,26.6,89.0140432442646,83.6919005314446,11.6970153486788,16.7847469773136,26.2441029790784,56.3167512431979
1100023,262.752598762488,261.06507106409,13.3137254901961,11.7843137254902,28.6666666666667,59.6274509803922,85.1361680507918,82.0576086318668,12.2800012773839,12.8642992843929,72.119530410747,63.5873708018361
1100049,259.477230326303,260.753528895782,11.9508196721311,10.3770491803279,22.5245901639344,37.9836065573771,91.6415673838648,88.1437408156275,15.0085585783943,12.9262726487632,57.7010763127541,57.1809896186704
1100056,271.333274150602,276.75445423494,9.8125,8.6875,13.9375,33.1875,84.0647721495811,79.384459549654,7.97391580927046,8.34965069129641,27.9568119307859,43.3172406015588
1100064,255.539112485849,257.374545183962,13.5882352941176,11.7058823529412,29.8235294117647,49.1176470588235,91.2796810949975,90.2759194655917,16.8383316205824,16.893263537315,110.000534758058,115.578722853606
1100072,251.056364582677,249.670631629921,7.4,7.4,11.7,33,85.664553354274,81.3882294353167,4.91709037722287,5.59364719024081,25.8379565755499,25.2454616383487
1100080,264.245765846715,264.886279284672,7.46666666666667,7.53333333333333,9.73333333333333,30.4666666666667,83.3226806906087,86.7941989517179,8.54790422657312,9.09840383698989,13.3623493799699,36.9313391244321
1100098,264.873849335135,265.555587713513,7.66666666666667,7.40740740740741,14.4074074074074,30.4444444444444,81.9243637984034,83.6327463515178,9.8449518497084,9.70740017891599,24.9137543677214,46.7146273693413
1100106,245.768097065217,242.09409336087,5.60869565217391,5.33333333333333,7.85507246376812,17.3913043478261,86.2317094757682,82.0696473024859,10.0599227649026,9.27784626799501,25.9485358587721,41.3680999454245
1100114,260.469899645255,261.305985667153,10.025641025641,9.87179487179487,16.3846153846154,39.7948717948718,88.0976994604147,83.4709452914158,12.091642868546,13.1483798255826,24.7752651889377,58.5728147597492
